modeldate,approve,disapprove,approve_lo,approve_hi,disapprove_lo,disapprove_hi
1/21/2025,51.62839,39.97147,45.85058,57.40619,34.19366,45.74928
1/22/2025,51.62839,39.97147,45.85058,57.40619,34.19366,45.74928
1/23/2025,52.44161,43.17908,47.50262,57.38061,38.24008,48.11807
1/24/2025,51.9109,43.42716,47.26645,56.55534,38.78272,48.07161
1/25/2025,51.9109,43.42716,47.26645,56.55534,38.78272,48.07161
1/26/2025,51.60608,43.73387,47.00677,56.20538,39.13456,48.33317
1/27/2025,50.75071,43.54461,46.3333,55.16811,39.1272,47.96202
1/28/2025,50.5603,43.64887,46.19315,54.92745,39.28172,48.01602
1/29/2025,50.45234,43.76417,46.08949,54.81518,39.40132,48.12701
1/30/2025,50.55085,43.67509,46.19232,54.90939,39.31656,48.03363
1/31/2025,49.88923,43.76733,45.54743,54.23103,39.42554,48.10913
2/1/2025,49.77596,43.94174,45.46407,54.08786,39.62984,48.25363
2/2/2025,49.56835,44.43734,45.29222,53.84447,40.16122,48.71347
2/3/2025,49.06934,45.00368,44.73444,53.40424,40.66879,49.33858
2/4/2025,48.7685,45.06099,44.42632,53.11068,40.71881,49.40317
2/5/2025,48.64521,46.07553,44.31398,52.97645,41.74429,50.40676
2/6/2025,48.58174,45.97654,44.29497,52.86851,41.68977,50.26331
2/7/2025,48.93139,46.16331,44.63564,53.22714,41.86756,50.45906
2/8/2025,48.93139,46.16331,44.63564,53.22714,41.86756,50.45906
2/9/2025,49.20401,46.42096,44.87601,53.53201,42.09296,50.74897
2/10/2025,49.28339,46.40575,44.96134,53.60545,42.08369,50.7278
2/11/2025,48.9805,46.40917,44.58626,53.37474,42.01337,50.80497
2/12/2025,49.07721,46.33083,44.6859,53.46851,41.93916,50.72251
2/13/2025,49.46926,46.35511,45.08833,53.8502,41.93874,50.77148
2/14/2025,49.78413,46.23433,45.42103,54.14723,41.87239,50.59627
2/15/2025,49.78413,46.23433,45.42103,54.14723,41.87239,50.59627
2/16/2025,49.81136,46.47601,45.41616,54.20655,42.07705,50.87497
2/17/2025,48.97882,46.80212,44.66964,53.28801,42.40267,51.20156
2/18/2025,48.83451,47.10556,44.51174,53.15728,42.68798,51.52315
2/19/2025,48.81781,47.19585,44.51099,53.12464,42.77919,51.61251
2/20/2025,48.57818,47.20779,44.206,52.95036,42.7366,51.67897
2/21/2025,48.70716,47.15341,44.34995,53.06437,42.71305,51.59378
2/22/2025,48.70716,47.15341,44.34995,53.06437,42.71305,51.59378
2/23/2025,48.52215,47.25496,44.07963,52.96466,42.7737,51.73623
2/24/2025,48.62353,47.35507,44.182,53.06506,42.89957,51.81058
2/25/2025,48.19157,46.50638,43.74551,52.63762,41.85268,51.16008
2/26/2025,47.69238,46.84249,43.30216,52.0826,42.28725,51.39774
2/27/2025,48.16257,47.08207,43.82611,52.49903,42.54069,51.62346
2/28/2025,48.33131,47.11463,44.05076,52.61186,42.58996,51.6393
3/1/2025,48.26917,47.13979,43.99157,52.54676,42.61616,51.66343
3/2/2025,48.24833,47.25283,44.00698,52.48968,42.76084,51.74483
3/3/2025,48.22008,47.3167,44.07259,52.36758,42.72628,51.90712
3/4/2025,48.08179,47.43499,43.89752,52.26605,42.85672,52.01326
3/5/2025,48.04528,47.49095,43.88107,52.20948,42.91648,52.06542
3/6/2025,48.04528,47.49095,43.88107,52.20948,42.91648,52.06542
3/7/2025,48.10084,47.34626,44.04194,52.15974,42.85209,51.84044
3/8/2025,48.08615,47.32513,44.02887,52.14344,42.81496,51.8353
3/9/2025,48.08615,47.32513,44.02887,52.14344,42.81496,51.8353
3/10/2025,47.87268,48.1039,43.68302,52.06234,43.66662,52.54118
3/11/2025,48.01125,48.05174,43.93159,52.09092,43.71781,52.38567
3/12/2025,47.80142,48.4408,43.76649,51.83635,44.05131,52.83028
3/13/2025,47.34944,49.03124,43.06135,51.63753,44.49454,53.56793
3/14/2025,47.50919,48.91116,43.276,51.74237,44.45956,53.36277
3/15/2025,47.72628,48.74337,43.39228,52.06027,44.27282,53.21393
3/16/2025,47.68021,48.91003,43.39926,51.96117,44.45418,53.36587
3/17/2025,47.53214,49.36317,43.3286,51.73567,44.83746,53.88887
3/18/2025,47.55081,49.26982,43.3554,51.74622,44.75301,53.78663
3/19/2025,47.49081,49.65988,43.32704,51.65458,45.20905,54.11071
3/20/2025,47.39563,49.75119,43.24761,51.54364,45.36366,54.13873
3/21/2025,47.48177,49.65436,43.31021,51.65332,45.26371,54.04501
3/22/2025,47.5351,49.56881,43.25347,51.81673,45.16459,53.97303
3/23/2025,47.52748,49.58065,43.25628,51.79868,45.1856,53.97571
3/24/2025,47.52706,49.61984,43.20314,51.85097,45.21014,54.02954
3/25/2025,47.48824,49.64067,43.21551,51.76097,45.30599,53.97536
3/26/2025,47.66578,49.38222,43.35771,51.97385,45.00001,53.76442
3/27/2025,47.37044,49.60704,43.02921,51.71167,45.27546,53.93863
3/28/2025,47.37019,49.59669,43.06321,51.67718,45.27298,53.92041
3/29/2025,47.37019,49.59669,43.06321,51.67718,45.27298,53.92041
3/30/2025,47.60534,49.78962,43.18983,52.02085,45.43279,54.14645
3/31/2025,47.1512,49.71198,42.78379,51.51861,45.18557,54.23838
4/1/2025,47.23803,49.75965,42.8421,51.63397,45.24705,54.27225
4/2/2025,47.01505,50.05616,42.70523,51.32486,45.48481,54.62751
4/3/2025,46.61609,49.86424,42.26794,50.96424,45.2114,54.51709
4/4/2025,46.69425,49.88645,42.32501,51.06348,45.2973,54.47559
